bench,nodes,conf,mode,tcore_default,tresid_default,tcore_offload,tresid_offload
634.hpgmgfv_s,16,2,funneled,183.413642,0.616250,187.910073,0.632837
634.hpgmgfv_s,32,2,multiple,104.664385,0.353000,97.409107,0.329705
634.hpgmgfv_s,32,2,funneled,94.696308,0.321571,96.416580,0.325935
634.hpgmgfv_s,64,2,multiple,67.817422,0.226894,61.860202,0.207731
634.hpgmgfv_s,64,2,funneled,57.514690,0.193616,60.257925,0.201977
634.hpgmgfv_s,128,2,multiple,47.986217,0.159165,40.520656,0.137267
634.hpgmgfv_s,128,2,funneled,38.863938,0.132100,39.768392,0.131443
634.hpgmgfv_s,256,2,multiple,37.440468,0.127590,35.208001,0.098832
634.hpgmgfv_s,256,2,funneled,26.053389,0.087326,27.962837,0.094363
634.hpgmgfv_s,512,2,multiple,36.436423,0.127249,28.865064,0.106616
634.hpgmgfv_s,512,2,funneled,24.665128,0.083792,26.566088,0.102254
634.hpgmgfv_s,4,3,multiple,691.428280,2.320040,684.493870,2.297461
634.hpgmgfv_s,4,3,funneled,676.389335,2.277023,691.948056,2.375035
634.hpgmgfv_s,8,3,multiple,343.672480,1.154004,338.585643,1.163882
634.hpgmgfv_s,8,3,funneled,333.531287,1.165777,337.253709,1.140757
634.hpgmgfv_s,16,3,multiple,184.067582,0.619754,177.044265,0.594162
634.hpgmgfv_s,16,3,funneled,173.573487,0.586906,174.728982,0.586308
634.hpgmgfv_s,32,3,multiple,94.729456,0.318788,87.681823,0.294913
634.hpgmgfv_s,32,3,funneled,85.541429,0.288714,86.790192,0.295620
634.hpgmgfv_s,64,3,multiple,59.112088,0.199175,52.751394,0.181761
634.hpgmgfv_s,64,3,funneled,50.090456,0.168646,51.964774,0.175099
634.hpgmgfv_s,128,3,multiple,41.378759,0.139697,34.531992,0.119252
634.hpgmgfv_s,128,3,funneled,32.914650,0.106356,34.498187,0.116024
634.hpgmgfv_s,256,3,multiple,33.890384,0.108175,26.159263,0.086466
634.hpgmgfv_s,256,3,funneled,23.101364,0.077217,24.773178,0.083542
634.hpgmgfv_s,512,3,multiple,31.325212,0.107155,23.687109,0.079001
634.hpgmgfv_s,512,3,funneled,20.446562,0.070086,22.784081,0.075673
734.hpgmgfv_m,16,1,multiple,1564.642702,5.283716,1537.005099,5.188136
734.hpgmgfv_m,16,1,funneled,1510.640298,5.054147,1550.688503,5.233388
734.hpgmgfv_m,64,1,multiple,419.169088,1.423022,414.064561,1.362738
734.hpgmgfv_m,64,1,funneled,404.749400,1.347494,400.007517,1.332248
734.hpgmgfv_m,128,1,multiple,227.682064,0.768404,214.321028,0.714443
734.hpgmgfv_m,128,1,funneled,217.935220,0.718123,208.013468,0.696912
734.hpgmgfv_m,256,1,multiple,139.894765,0.477189,131.549234,0.426370
734.hpgmgfv_m,256,1,funneled,127.005884,0.411234,123.757582,0.418321
734.hpgmgfv_m,512,1,multiple,105.062622,0.342754,95.197114,0.311961
734.hpgmgfv_m,512,1,funneled,87.521642,0.287054,89.784866,0.292487
734.hpgmgfv_m,16,2,multiple,1515.170378,5.056399,1506.724203,5.036128
734.hpgmgfv_m,16,2,funneled,1443.487634,4.882085,1516.769718,5.037963
734.hpgmgfv_m,64,2,multiple,385.780168,1.314911,381.021236,1.290686
734.hpgmgfv_m,64,2,funneled,376.798631,1.270657,379.282944,1.286347
734.hpgmgfv_m,128,2,multiple,206.469121,0.691880,195.683822,0.656996
734.hpgmgfv_m,128,2,funneled,192.610436,0.642636,192.809736,0.646333
734.hpgmgfv_m,256,2,multiple,123.208598,0.414321,111.855811,0.375086
734.hpgmgfv_m,256,2,funneled,110.802619,0.364032,113.836563,0.377037
734.hpgmgfv_m,512,2,multiple,89.207401,0.297787,77.276250,0.262650
734.hpgmgfv_m,512,2,funneled,72.135066,0.241924,74.903302,0.248076
734.hpgmgfv_m,16,3,multiple,1477.773863,4.973828,1445.098854,4.881873
